,mol_id,atom_index,shift,DFT_shift
16119,10023478,2,125.8,132.10927466107498
16151,10023508,12,190.8,204.57527817845505
16255,10023626,6,49.1,25.983581623474976
16273,10023631,6,169.8,157.93102197339
16381,10023701,7,101.0,113.58908095441498
16440,10023708,4,141.5,135.51220127102502
16474,10023738,8,116.8,110.75124698543
16509,10023746,5,96.0,114.507223606915
16558,10023757,6,132.0,139.59097751981
16581,10023760,1,86.8,78.63548682033499
16584,10023760,3,126.8,117.556616972355
16612,10023762,13,134.3,142.08059380701
16641,10023785,0,54.0,60.51956582055999
16643,10023785,2,134.9,118.64031524209
16646,10023786,0,54.4,67.20461079671
16650,10023786,9,164.3,156.16074629277497
16652,10023786,2,179.1,189.63613075633
16681,10023797,7,114.0,107.333533446445
16711,10023806,7,149.5,158.16432685371996
16712,10023806,3,152.5,145.99884006149998
16713,10023806,0,157.3,150.82363137708998
16716,10023819,6,32.4,39.216046824494974
16719,10023819,7,40.5,50.86196152199497
16760,10023837,8,70.6,4.643355680374995
16763,10023837,7,84.1,4.790104201965999
16767,10023837,2,150.7,157.21081154745002
16770,10023842,9,66.5,5.059796792608999
16774,10023842,8,126.9,4.686860369498
16792,10023850,0,126.2,119.911701199315
16822,10023879,11,19.2,13.142921718585
16851,10023936,19,104.0,123.09591656478
16856,10023936,4,123.5,136.44899671636003
16857,10023936,12,123.5,140.69323193578498
16863,10023936,3,127.4,121.094075642545
16961,10023963,6,142.1,148.56364739960998
16996,10023973,9,158.1,151.58443337293002
16997,10023973,6,160.2,153.57651298906998
17005,10023979,0,104.6,118.82278401345
17007,10023979,13,111.7,129.04664071212
17025,10023982,0,110.7,128.69822973714494
17043,10023984,5,120.9,127.03049609382498
17044,10023984,4,128.0,119.20782404793
17071,10023991,14,47.1,57.668201328275
17191,10024096,0,59.0,69.66078736203998
17197,10024099,3,38.5,143.62326675639997
17200,10024099,5,111.7,5.101659795349999
17223,10024125,12,32.3,172.26989739396996
17225,10024125,15,51.2,10.679927711787997
17243,10024158,4,45.9,53.58333634400498
17247,10024158,1,135.5,143.14911856133003
17248,10024164,5,50.1,56.45441674166999
17250,10024165,4,62.1,70.23216203167999
17260,10024169,4,133.6,140.97283053511998
17263,10024174,1,58.9,66.58723234784998
17264,10024174,3,131.5,137.89154379333002
17399,10024224,6,50.7,40.73832734233997
17430,10024296,2,197.7,205.73252450698504
17448,10024302,5,96.9,113.466339778765
